"STATE","DISTRICT","INCUMBENT INDICATOR","NAME","PARTY","PRIMARY RESULTS","RUNOFF RESULTS","GENERAL RESULTS","COMBINED PARTIES"
"AK","0.0","","Dore, Jim","AKI","5725.0","","10085.0",""
"AK","0.0","","Greene, Clifford Mark","D","11688.0","","45372.0",""
"AK","0.0","","Miles, Dae","D","5430.0","","",""
"AK","0.0","","Vondersaar, Frank","D","4095.0","","",""
"AK","0.0","","Young, Anna C.","GRN","7198.0","","22440.0",""
"AK","0.0","","Karpinski, Leonard J. ""Len""","LBT","1862.0","","4802.0",""
"AK","0.0","(I)","Young, Don E.","R","33792.0","","190862.0",""
"AK","0.0","","Scattered","W","","","832.0",""
"AL","1.0","","Coffee, Dick","LBT","","","14031.0",""
"AL","1.0","(I)","Callahan, H. L. ""Sonny""","R","Unopposed","","151188.0",""
"AL","1.0","","Scattered","W","","","450.0",""
"AL","2.0","","Woods, Charles","D","Unopposed","","64958.0",""
"AL","2.0","","McGahan, Wallace B.","LBT","","","4111.0",""
"AL","2.0","(I)","Everett, Terry","R","Unopposed","","151830.0",""
"AL","2.0","","Scattered","W","","","1737.0",""
"AL","3.0","","Sophocleus, John","LBT","","","21119.0",""
"AL","3.0","(I)","Riley, Bob","R","Unopposed","","147317.0",""
"AL","3.0","","Scattered","W","","","1083.0",""
"AL","4.0","","Folsom, Marsha","D","Unopposed","","86400.0",""
"AL","4.0","","Goodrich, Craig","LBT","","","3519.0",""
"AL","4.0","(I)","Aderholt, Robert","R","Unopposed","","140009.0",""
"AL","4.0","","Scattered","W","","","1178.0",""
"AL","5.0","(I)","Cramer, Bud","D","Unopposed","","186059.0",""
"AL","5.0","","Barksdale, Alan","LBT","","","22110.0",""
"AL","5.0","","Scattered","W","","","1345.0",""
"AL","6.0","","Reagin, Terry","LBT","","","28189.0",""
"AL","6.0","(I)","Bachus, Spencer","R","Unopposed","","212751.0",""
"AL","6.0","","Scattered","W","","","977.0",""
"AL","7.0","","Davis, Artur","D","30973.0","","",""
"AL","7.0","(I)","Hilliard, Earl F.","D","36249.0","","148243.0",""
"AL","7.0","","Sowell, Wayne","D","5155.0","","",""
"AL","7.0","","Hager, Ken","LBT","","","3829.0",""
"AL","7.0","","Bethune, Milton","R","1923.0","","",""
"AL","7.0","","Martin, Ed","R","3018.0","","46134.0",""
"AL","7.0","","Scattered","W","","","427.0",""
"AR","1.0","(I)","Berry,  Marion","D","Unopposed","","120266.0",""
"AR","1.0","","Myshka,  Susan","R","3250.0","","79437.0",""
"AR","1.0","","Sutfin,  Jason","R","1820.0","","",""
"AR","1.0","","Moody, George","W","","","253.0",""
"AR","2.0","(I)","Snyder,  Vic","D","Unopposed","","126957.0",""
"AR","2.0","","Martin,  Rod","R","4427.0","","",""
"AR","2.0","","Thomas,  Bob","R","6330.0","","93692.0",""
"AR","3.0","(I)","Hutchinson,  Asa","R","Unopposed","","Unopposed",""
"AR","4.0","","Graham,  Dewayne","D","20575.0","20392.0","",""
"AR","4.0","","Harris,  Bruce Carleton","D","10539.0","","",""
"AR","4.0","","Ross,  Mike","D","41668.0","28286.0","108143.0",""
"AR","4.0","","Smith,  Judy","D","20341.0","","",""
"AR","4.0","(I)","Dickey,  Jay","R","Unopposed","","104017.0",""
"AS","0.0","(I)","Faleomavaega, Eni F.H.","D","5491.0","","5500.0",""
"AS","0.0","","Hannemann, Gus","I","3648.0","","3505.0",""
"AS","0.0","","Pene, Seigafolava R.","I","256.0","","",""
"AS","0.0","","Coleman, Aumua Amata","R","2510.0","","",""
"AZ","1.0","","Mendoza, David","D","15573.0","","97455.0",""
"AZ","1.0","","Burroughs, Jon","LBT","313.0","","9227.0",""
"AZ","1.0","","DiCiccio, Sal","R","12490.0","","",""
"AZ","1.0","","Flake, Jeff","R","16745.0","","123289.0",""
