"FEC ID","STATE","DISTRICT","FIRST NAME","LAST NAME","LAST NAME,  FIRST","TOTAL VOTES","PARTY","PRIMARY RESULTS","PRIMARY %","RUNOFF RESULTS","RUNOFF %","GENERAL RESULTS","GENERAL %","GENERAL RUNOFF RESULTS","GENERAL RUNOFF %","INCUMBENT INDICATOR","NOTES (See Endnotes Page)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","AL","","","","","","","","","","","","","","","",""
"S6AL00195","AL","S","Jeff","Sessions","Sessions, Jeff","","R","Unopposed","","","","792561.0","0.5857705301388076","","","(I)",""
"S2AL00079","AL","S","Susan","Parker","Parker, Susan","","D","190978.0","0.4799418977229034","176582.0","0.651123172908155","538878.0","0.39827704333185765","","","",""
"S2AL00061","AL","S","Julian","McPhillips","McPhillips, Julian","","D","170222.0","0.4277805281979498","94614.0","0.34887682709184503","","","","","",""
"S2AL00087","AL","S","Wayne","Sowell","Sowell, Wayne","","D","36719.0","0.09227757407914676","","","","","","","",""
"","AL","S",""," "," ","Total Party Votes:","D","397919.0"," ","271196.0","","","","","","",""
"S2AL00103","AL","S","Jeff ","Allen","Allen, Jeff ","","LBT","","","","","20234.0","0.014954660785515102","","","",""
"","AL","S","","Scattered","Scattered ","","W","","","","","1350.0","0.0009977657438195802","","","",""
"","AL","S","",""," ","Total State Votes:","","397919.0","","271196.0","","1353023.0","","","","",""
"H2AL01077","AL","01","Jo","Bonner","Bonner, Jo","","R","29857.0","0.40262419763741303","32421.0","0.6244173953237548","108102.0","0.6049796571658822","","","",""
"H2AL01051","AL","01","Tom","Young","Young, Tom","","R","15087.0","0.20344948486973408","19501.0","0.37558260467624516","","","","","",""
"H2AL01069","AL","01","David","Whetstone","Whetstone, David","","R","10997.0","0.14829548519337613","","","","","","","",""
"H2AL00012","AL","01","Albert","Lipscomb","Lipscomb, Albert","","R","7429.0","0.10018070014563893","","","","","","","",""
"H2AL01085","AL","01","Chris","Pringle","Pringle, Chris","","R","6001.0","0.08092399805814769","","","","","","","",""
"H2AL01093","AL","01","Rusty","Glover","Glover, Rusty","","R","4374.0","0.058983763957063486","","","","","","","",""
"H2AL01168","AL","01","Joe J.","Gottler","Gottler, Joe J.","","R","411.0","0.005542370138626679","","","","","","","",""
"","AL","01","",""," ","Total Party Votes:","R","74156.0","","51922.0","","","","","","",""
"H2AL01119","AL","01","Judy McCain","Belk","Belk, Judy McCain","","D","14213.0","0.36005978618837714","13007.0","0.5842954045191141","67507.0","0.3777946912758063","","","",""
"H2AL01150","AL","01","J. Don","Foster","Foster, J. Don","","D","9766.0","0.2474033541065005","9254.0","0.41570459548088584","","","","","",""
"H2AL01101","AL","01","James O.","Gordon","Gordon, James O.","","D","8128.0","0.20590768607184476","","","","","","","",""
"H2AL01127","AL","01","Don","Chamberlain","Chamberlain, Don","","D","3774.0","0.09560723514211886"," ","","","","","","",""
