"#","STATE","STATE ABBREVIATION","DISTRICT","FEC ID","INCUMBENT INDICATOR","FIRST NAME","LAST NAME","LAST NAME, FIRST","TOTAL VOTES","PARTY","PRIMARY","PRIMARY %","RUNOFF","RUNOFF %","GENERAL ","GENERAL %","GE RUNOFF","GE RUNOFF %","Notes (See Endnotes Tab)"
"1.0","Alabama","AL","01","H2AL01077","(I)","Jo","Bonner","Bonner, Jo","","R","Unopposed","","","","161067.0","0.6312293270210532","","",""
"2.0","Alabama","AL","01","H2AL01119","","Judy","Belk","Belk, Judy","","D","Unopposed","","","","93938.0","0.3681475443244345","","",""
"3.0","Alabama","AL","01","","","","Scattered","Scattered","","W","","","","","159.0","0.000623128654512392","","",""
"4.0","Alabama","AL","01","","","","","","District Votes:","","","","","","255164.0","","","",""
"5.0","Alabama","AL","02","H2AL02067","(I)","Terry","Everett","Everett, Terry","","R","Unopposed","","","","177086.0","0.7142090850060698","","",""
"6.0","Alabama","AL","02","H4AL02063","","Charles D. (Chuck)","James","James, Charles D. (Chuck)","","D","Unopposed","","","","70562.0","0.2845850121195255","","",""
"7.0","Alabama","AL","02","","","","Scattered","Scattered","","W","","","","","299.0","0.0012059028744046106","","",""
"8.0","Alabama","AL","02","","","","","","District Votes:","","","","","","247947.0","","","",""
"9.0","Alabama","AL","03","H2AL03032","(I)","Mike","Rogers","Rogers, Mike","","R","Unopposed","","","","150411.0","0.611964163655893","","",""
"10.0","Alabama","AL","03","H4AL03046 ","","Bill","Fuller","Fuller, Bill","","D","Unopposed","","","","95240.0","0.3874947108029815","","",""
"11.0","Alabama","AL","03","","","","Scattered","Scattered","","W","","","","","133.0","0.0005411255411255411","","",""
"12.0","Alabama","AL","03","","","","","","District Votes:","","","","","","245784.0","","","",""
"13.0","Alabama","AL","04","H6AL04098","(I)","Robert","Aderholt","Aderholt, Robert","","R","Unopposed","","","","191110.0","0.7473291517417215","","",""
"14.0","Alabama","AL","04","H4AL04028","","Carl","Cole","Cole, Carl","","D","Unopposed","","","","64278.0","0.2513569316919804","","",""
"15.0","Alabama","AL","04","","","","Scattered","Scattered","","W","","","","","336.0","0.00131391656629804","","",""
"16.0","Alabama","AL","04","","","","","","District Votes:","","","","","","255724.0","","","",""
"17.0","Alabama","AL","05","H0AL05049","(I)","Bud","Cramer","Cramer, Bud","","D","37573.0","0.8953200209693561","","","200999.0","0.7296875397064536","","",""
"18.0","Alabama","AL","05","H2AL05078","","Michael ""People First""","Williams","Williams, Michael ""People First""","","D","4393.0","0.10467997903064385","","","","","","",""
"19.0","Alabama","AL","05","","","","","","Party Votes:","D","41966.0","","","","","","","",""
"20.0","Alabama","AL","05","H4AL05066","","Gerald (Gerry)","Wallace","Wallace, Gerald (Gerry)","","R","6742.0","0.4517555615116591","2371.0","0.5267718284825594","74145.0","0.26916891443009666","","",""
"21.0","Alabama","AL","05","H2AL05060","","Stephen P.","Engel","Engel, Stephen P.","","R","6007.0","0.40250603055481105","2130.0","0.47322817151744057","","","","",""
"22.0","Alabama","AL","05","H4AL05058","","Nate","Bailie","Bailie, Nate","","R","2175.0","0.14573840793352988","","","","","","",""
"23.0","Alabama","AL","05","","","","","","Party Votes:","R","14924.0","","4501.0","","","","","",""
"24.0","Alabama","AL","05","","","","Scattered","Scattered","","W","","","","","315.0","0.001143545863449733","","",""
"25.0","Alabama","AL","05","","","","","","District Votes:","","56890.0","","4501.0","","275459.0","","","",""
"26.0","Alabama","AL","06","H2AL06035","(I)","Spencer","Bachus","Bachus, Spencer","","R","45448.0","0.8665344722391702","","","264819.0","0.9879720791067105","","",""
"27.0","Alabama","AL","06","H4AL06064","","Phillip","Jauregui","Jauregui, Phillip","","R","7000.0","0.13346552776082976","","","","","","",""
"28.0","Alabama","AL","06","","","","","","Party Votes:","R","52448.0","","","","","","","",""
"29.0","Alabama","AL","06","","","","Scattered","Scattered","","W","","","","","3224.0","0.01202792089328951","","",""
"30.0","Alabama","AL","06","","","","","","District Votes:","","52448.0","","","","268043.0","","","",""
"31.0","Alabama","AL","07","H0AL07060","(I)","Artur","Davis","Davis, Artur","","D","58193.0","0.8783318743019289","","","183408.0","0.7497118190959704","","",""
"32.0","Alabama","AL","07","H4AL07054","","Albert","Turner","Turner, Albert","","D","8061.0","0.12166812569807106","","","","","","",""
"33.0","Alabama","AL","07","","","","","","Party Votes:","D","66254.0","","","","","","","",""
"34.0","Alabama","AL","07","H4AL07062","","Steve F.","Cameron","Cameron, Steve F.","","R","Unopposed","","","","61019.0","0.24942568202813953","","",""
"35.0","Alabama","AL","07","","","","Scattered","Scattered","","W","","","","","211.0","0.0008624988758900907","","",""
"36.0","Alabama","AL","07","","","","","","District Votes:","","66254.0","","","","244638.0","","","",""
"37.0","Alabama","AL","H","","","","","","House Votes:","","175592.0","","4501.0","","1792759.0","","","",""
"38.0","Alabama","AL","S","S6AL00013","(I)","Richard","Shelby","Shelby, Richard","","R","Unopposed","","","","1242200.0","0.6754515607378963","","",""
"39.0","Alabama","AL","S","S2AL00087","","Wayne ","Sowell","Sowell, Wayne ","","D","Unopposed","","","","595018.0","0.3235435813614084","","",""
"40.0","Alabama","AL","S","","","","Scattered","Scattered","","W","","","","","1848.0","0.0010048579006952441","","",""
"41.0","Alabama","AL","S","","","","","","Senate Votes:","","n/a","","","","1839066.0","","","",""
"42.0","Alabama","AL","","","","","","","Total State Votes:","","175592.0","","4501.0","","3631825.0","","","",""
"43.0","Alaska","AK","00","H4AK00065","(I)","Don E.","Young","Young, Don E.","","R","70142.0","1.0","","","213216.0","0.7107294763930185","","",""
"44.0","Alaska","AK","00","","","","","","Party Votes:","R","70142.0","","","","","","","",""
"45.0","Alaska","AK","00","H4AK00081","","Thomas M.","Higgins","Higgins, Thomas M.","","D","14109.0","0.4764461554047209","","","67074.0","0.22358298110641475","","",""
"46.0","Alaska","AK","00","H4AK00057","","Frank","Vondersaar","Vondersaar, Frank","","D","9025.0","0.30476479924357547","","","","","","",""
"47.0","Alaska","AK","00","H0AK00063","","Dae","Miles","Miles, Dae","","D","6479.0","0.21878904535170365","","","","","","",""
"48.0","Alaska","AK","00","","","","","","Party Votes:","D","29613.0","","","","","","","",""
"49.0","Alaska","AK","00","H4AK00099","","Timothy A.","Feller","Feller, Timothy A.","","GRN","7490.0","1.0","","","11434.0","0.0381138415178869","","",""
"50.0","Alaska","AK","00","","","","","","Party Votes:","GRN","7490.0","","","","","","","",""
"51.0","Alaska","AK","00","H6AK00045","","Alvin A.","Anders","Anders, Alvin A.","","LBT","4147.0","1.0","","","7157.0","0.023856984759796796","","",""
"52.0","Alaska","AK","00","","","","","","Party Votes:","LBT","4147.0","","","","","","","",""
"53.0","Alaska","AK","00","","","","Scattered","Scattered","","W","","","","","1115.0","0.0037167162228829717","","",""
"54.0","Alaska","AK","00","","","","","","District Votes:","","111392.0","","","","299996.0","","","",""
"55.0","Alaska","AK","H","","","","","","House Votes:","","111392.0","","","","299996.0","","","",""
"56.0","Alaska","AK","S","S4AK00099","(I)","Lisa","Murkowski","Murkowski, Lisa","","R","45710.0","0.5813450679147377","","","149773.0","0.4857791544362097","","",""
"57.0","Alaska","AK","S","S4AK00131","","Mike","Miller","Miller, Mike","","R","29313.0","0.3728061250445134","","","","","","",""
"58.0","Alaska","AK","S","S4AK00156","","Wev","Shea","Shea, Wev","","R","2857.0","0.036335656509131606","","","","","","",""
"59.0","Alaska","AK","S","S2AK00069","","Jim","Dore","Dore, Jim","","R","748.0","0.009513150531617236","","","","","","",""
"60.0","Alaska","AK","S","","","","","","Party Votes:","R","78628.0","","","","","","","",""
"61.0","Alaska","AK","S","S4AK00107","","Tony","Knowles","Knowles, Tony","","D","40881.0","0.9505882900060457","","","140424.0","0.455456270372833","","",""
"62.0","Alaska","AK","S","S4AK00149","","Don R.","Wright","Wright, Don R.","","D","1080.0","0.02511277496163326","","","","","","",""
"63.0","Alaska","AK","S","S6AK00102","","Theresa Nangle","Obermeyer","Obermeyer, Theresa Nangle","","D","1045.0","0.02429893503232107","","","","","","",""
"64.0","Alaska","AK","S","","","","","","Party Votes:","D","43006.0","","","","","","","",""
"65.0","Alaska","AK","S","H4AK00115","","Marc J.","Millican","Millican, Marc J.","","N","","","","","8885.0","0.028817929714739794","","",""
"66.0","Alaska","AK","S","S4AK00172","","Jerry ","Sanders","Sanders, Jerry ","","AKI","1953.0","0.7958435207823961","","","3785.0","0.01227640562411819","","",""
"67.0","Alaska","AK","S","S4AK00164","","Daniel","DeNardo","DeNardo, Daniel","","AKI","501.0","0.2041564792176039","","","","","","",""
"68.0","Alaska","AK","S","","","","","","Party Votes:","AKI","2454.0","","","","","","","",""
"69.0","Alaska","AK","S","S4AK00093","","Jim","Sykes","Sykes, Jim","","GRN","2868.0","1.0","","","3053.0","0.00990221040169956","","",""
"70.0","Alaska","AK","S","","","","","","Party Votes:","GRN","2868.0","","","","","","","",""
"71.0","Alaska","AK","S","S8AK00066","","Scott A.","Kohlhaas","Kohlhaas, Scott A.","","LBT","775.0","1.0","","","1240.0","0.00402186075928839","","",""
"72.0","Alaska","AK","S","","","","","","Party Votes:","LBT","775.0","","","","","","","",""
"73.0","Alaska","AK","S","S4AK00115","","Ted ""Big""","Gianoutsos","Gianoutsos, Ted ""Big""","","N","","","","","732.0","0.0023741952224186303","","",""
"74.0","Alaska","AK","S","","","","Scattered","Scattered","","W","","","","","423.0","0.0013719734686927331","","",""
"75.0","Alaska","AK","S","","","","","","Senate Votes:","","127731.0","","","","308315.0","","","",""
"76.0","Alaska","AK","","","","","","","Total State Votes:","","239123.0","","","","608311.0","","","",""
"77.0","American Samoa","AS","00","H0AS00018","(I)","Eni F.H.","Faleomavaega","Faleomavaega, Eni F.H.","","D","n/a","","","","6656.0","0.5488126649076517","","",""
"78.0","American Samoa","AS","00","H4AS00036","","Amata Aumua","Coleman","Coleman, Amata Aumua","","R","n/a","","","","5472.0","0.45118733509234826","","",""
