"State","PRIMARY  Democratic","PRIMARY  Republican","PRIMARY Other","Democratic General","Republican General","Other General"
"AL","154018.0","","","502046.0","627501.0","10605.0"
"AK","40573.0","81089.0","7483.0","93879.0","132743.0","8023.0"
"AS","","","","5195.0","4493.0","1345.0"
"AZ","202430.0","294125.0","2369.0","627259.0","771246.0","94645.0"
"AR","","16118.0","","456569.0","306442.0",""
"CA","2265008.0","1625917.0","18852.0","4720164.0","3314398.0","261254.0"
"CO","146175.0","196749.0","","832888.0","623784.0","82236.0"
"CT","","3146.0","","642859.0","419895.0","11985.0"
"DE","15768.0","","","97565.0","143897.0","10232.0"
"DC","102787.0","616.0","230.0","111726.0","","3051.0"
"FL","235726.0","156580.0","","1599968.0","2182833.0","69141.0"
"GA","464830.0","354204.0","","932143.0","1138048.0","116.0"
"GU","20463.0","246.0","","32677.0","","1201.0"
"HI","215971.0","26478.0","101.0","219810.0","118134.0",""
"ID","27856.0","132487.0","","177376.0","248105.0","19825.0"
"IL","881101.0","632834.0","12.0","1987114.0","1442969.0","23625.0"
"IN","327991.0","403901.0","","812496.0","831785.0","22641.0"
"IA","97389.0","76492.0","","492937.0","522388.0","18363.0"
"KS","70831.0","181441.0","","369191.0","459267.0","16669.0"
"KY","296937.0","","","601723.0","611780.0","40023.0"
"LA","","","","357926.0","579702.0","27034.0"
"ME","50043.0","52311.0","","350681.0","163155.0","22029.0"
"MD","546060.0","164626.0","","1099441.0","546862.0","54899.0"
"MA","724654.0","26890.0","","1632307.0","198550.0","92800.0"
"MI","483226.0","549145.0","","1923485.0","1624865.0","100152.0"
"MN","198518.0","87441.0","1086.0","1152621.0","924636.0","101717.0"
"MS","117069.0","","","260330.0","304308.0","36059.0"
"MO","302704.0","299715.0","1679.0","992258.0","1049346.0","55718.0"
"MT","93354.0","91836.0","","158916.0","239124.0","8094.0"
"NE","77248.0","248212.0","4042.0","261910.0","334177.0",""
"NV","71340.0","89707.0","","287879.0","260317.0","26631.0"
"NH","41428.0","47676.0","","209434.0","189615.0","3620.0"
"NJ","184277.0","144780.0","","1207784.0","903176.0","25882.0"
"NM","104859.0","54775.0","","313124.0","247825.0","135.0"
"NY","177644.0","19334.0","1477.0","2448964.0","1120966.0","565448.0"
"NC","127285.0","43828.0","","1026915.0","913893.0",""
"ND","57316.0","40172.0","","142934.0","74687.0",""
"OH","728741.0","749787.0","","2081737.0","1870390.0","9068.0"
"OK","84374.0","150474.0","","372888.0","518025.0","14281.0"
"OR","297429.0","222108.0","","765853.0","557491.0","34090.0"
"PA","628427.0","562592.0","","2229091.0","1732163.0","52134.0"
"RI","78533.0","17924.0","","265028.0","41856.0","66498.0"
"SC","47775.0","","","461600.0","599615.0","24991.0"
"SD","","","","230468.0","97864.0","5230.0"
"TN","396575.0","399390.0","","860861.0","799547.0","55018.0"
"TX","462691.0","577803.0","","1890869.0","2111137.0","248168.0"
"UT","","59024.0","","244483.0","292235.0","32972.0"
"VT","35739.0","36742.0","234.0","139815.0","117023.0","5888.0"
"VI","","","","19593.0","","11212.0"
"VA","19649.0","4409.0","","947103.0","1222790.0","127343.0"
"WA","577652.0","416592.0","","1244095.0","798005.0","11956.0"
"WV","158143.0","65732.0","","263822.0","190893.0","98.0"
"WI","287691.0","230791.0","357.0","1003156.0","1040071.0","20186.0"
"WY","25914.0","83291.0","","92324.0","93336.0","7709.0"
"Total:","12752212.0","9719530.0","37922.0","42255280.0","35657353.0","2542040.0"
"","","","","","",""
"","","22509664.0","","","80454673.0",""
