"#","STATE","STATE ABBREVIATION","DISTRICT","FEC ID","INCUMBENT INDICATOR","FIRST NAME","LAST NAME","LAST NAME, FIRST","TOTAL VOTES","PARTY","PRIMARY","PRIMARY %","RUNOFF","RUNOFF %","GENERAL","GENERAL %","GE RUNOFF","GE RUNOFF %","COMBINED GE PARTY TOTALS (NY, SC)","COMBINED % (NY, SC)","Notes (See Endnotes Tab)"
"1.0","Alabama","AL","01","H2AL01077","(I)","Jo","Bonner","Bonner, Jo","","REP","Unopposed","","","","112944.0","0.6810378615661989","","","","",""
"2.0","Alabama","AL","01","H6AL01052","","Vivian Sheffield","Beckerle","Beckerle, Vivian Sheffield","","DEM","Unopposed","","","","52770.0","0.3181963446916022","","","","",""
"3.0","Alabama","AL","01","","","","Scattered","Scattered","","W","","","","","127.0","0.0007657937421988531","","","","",""
"4.0","Alabama","AL","01","","","","","","District Votes:","","","","","","165841.0","","","","","",""
"5.0","Alabama","AL","02","H2AL02067","(I)","Terry","Everett","Everett, Terry","","REP","Unopposed","","","","124302.0","0.6947389600880846","","","","",""
"6.0","Alabama","AL","02","H4AL02063","","Charles (Chuck) Dean","James","James, Charles (Chuck) Dean","","DEM","36058.0","0.7059952226181618","","","54450.0","0.3043276566490982","","","","",""
"7.0","Alabama","AL","02","H6AL02134","","John, Jr.","Morykwas","Morykwas, John, Jr.","","DEM","15016.0","0.2940047773818381","","","","","","","","",""
"8.0","Alabama","AL","02","","","","","","Party Votes:","DEM","51074.0","","","","","","","","","",""
"9.0","Alabama","AL","02","","","","Scattered","Scattered","","W","","","","","167.0","0.0009333832628172525","","","","",""
"10.0","Alabama","AL","02","","","","","","District Votes:","","51074.0","","","","178919.0","","","","","",""
"11.0","Alabama","AL","03","H2AL03032","(I)","Mike","Rogers","Rogers, Mike","","REP","Unopposed","","","","98257.0","0.5944126169835633","","","","",""
"12.0","Alabama","AL","03","H6AL03140","","Greg A.","Pierce","Pierce, Greg A.","","DEM","Unopposed","","","","63559.0","0.3845046309459713","","","","",""
"13.0","Alabama","AL","03","H6AL03132","","Mark Edwin","Layfield","Layfield, Mark Edwin","","IND","","","","","3414.0","0.020653232587824637","","","","",""
"14.0","Alabama","AL","03","","","","Scattered","Scattered","","W","","","","","71.0","0.00042951948264075836","","","","",""
"15.0","Alabama","AL","03","","","","","","District Votes:","","","","","","165301.0","","","","","",""
"16.0","Alabama","AL","04","H6AL04098","(I)","Robert B.","Aderholt","Aderholt, Robert B.","","REP","Unopposed","","","","128484.0","0.7018222338751966","","","","",""
"17.0","Alabama","AL","04","H6AL04130","","Barbara","Bobo","Bobo, Barbara","","DEM","Unopposed","","","","54382.0","0.2970525257822059","","","","",""
"18.0","Alabama","AL","04","","","","Scattered","Scattered","","W","","","","","206.0","0.001125240342597448","","","","",""
"19.0","Alabama","AL","04","","","","","","District Votes:","","","","","","183072.0","","","","","",""
"20.0","Alabama","AL","05","H0AL05049","(I)","Bud","Cramer","Cramer, Bud","","DEM","Unopposed","","","","143015.0","0.9825495517158462","","","","",""
"21.0","Alabama","AL","05","","","","Scattered","Scattered","","W","","","","","2540.0","0.017450448284153756","","","","",""
"22.0","Alabama","AL","05","","","","","","District Votes:","","","","","","145555.0","","","","","",""
"23.0","Alabama","AL","06","H2AL06035","(I)","Spencer","Bachus","Bachus, Spencer","","REP","Unopposed","","","","163514.0","0.9832471437161756","","","","",""
"24.0","Alabama","AL","06","","","","Scattered","Scattered","","W","","","","","2786.0","0.016752856283824415","","","","",""
"25.0","Alabama","AL","06","","","","","","District Votes:","","","","","","166300.0","","","","","",""
"26.0","Alabama","AL","07","H0AL07060","(I)","Artur","Davis","Davis, Artur","","DEM","93586.0","0.9090962076468759","","","133870.0","0.9904264449113669","","","","",""
"27.0","Alabama","AL","07","H6AL07166","","Eddison T.","Walters","Walters, Eddison T.","","DEM","9358.0","0.09090379235312403","","","","","","","","",""
"28.0","Alabama","AL","07","","","","","","Party Votes:","DEM","102944.0","","","","","","","","","",""
"29.0","Alabama","AL","07","","","","Scattered","Scattered","","W","","","","","1294.0","0.009573555088633067","","","","",""
"30.0","Alabama","AL","07","","","","","","District Votes:","","102944.0","","","","135164.0","","","","","",""
"31.0","Alabama","AL","H","","","","","","House Votes:","","154018.0","","","","1140152.0","","","","","",""
"32.0","Alaska","AK","00","H6AK00045","(I)","Don E.","Young","Young, Don E.","","REP","81089.0","1.0","","","132743.0","0.565718425706919","","","","",""
"33.0","Alaska","AK","00","","","","","","Party Votes:","REP","81089.0","","","","","","","","","",""
"34.0","Alaska","AK","00","H6AK00144","","Diane E.","Benson","Benson, Diane E.","","DEM","19421.0","0.47866807975747416","","","93879.0","0.4000894968995717","","","","",""
"35.0","Alaska","AK","00","H6AK00169","","Ray ","Metcalfe","Metcalfe, Ray ","","DEM","16529.0","0.4073891504202302","","","","","","","","",""
"36.0","Alaska","AK","00","H6AK00151","","Todd","Hyde","Hyde, Todd","","DEM","2482.0","0.06117368693466098","","","","","","","","",""
"37.0","Alaska","AK","00","H6AK00136","","Frank","Vondersaar","Vondersaar, Frank","","DEM","2141.0","0.052769082887634634","","","","","","","","",""
"38.0","Alaska","AK","00","","","","","","Party Votes:","DEM","40573.0","","","","","","","","","",""
"39.0","Alaska","AK","00","H6AK00193","","Alexander ","Crawford","Crawford, Alexander ","","LBT","3176.0","0.8221589438260419","","","4029.0","0.01717061944639775","","","","",""
"40.0","Alaska","AK","00","H6AK00201","","Sol L. ","Gerstenfeld","Gerstenfeld, Sol L. ","","LBT","687.0","0.17784105617395807","","","","","","","","",""
"41.0","Alaska","AK","00","","","","","","Party Votes:","LBT","3863.0","","","","","","","","","",""
"42.0","Alaska","AK","00","H6AK00185","","Eva L.","Ince","Ince, Eva L.","","GRE","3620.0","1.0","","","1819.0","0.007752136205757634","","","","",""
"43.0","Alaska","AK","00","","","","","","Party Votes:","GRE","3620.0","","","","","","","","","",""
"44.0","Alaska","AK","00","H6AK00219","","William W. ""Bill""","Ratigan","Ratigan, William W. ""Bill""","","IPN","","","","","1615.0","0.0068827377527754694","","","","",""
"45.0","Alaska","AK","00","","","","Scattered","Scattered","","W","","","","","560.0","0.002386583988578491","","","","",""
