"1.0","STATE","STATE ABBREVIATION","DISTRICT","FEC ID#","INCUMBENT INDICATOR (I)","CANDIDATE NAME (First)","Candidate Name (Last)","CANDIDATE NAME","TOTAL VOTES","PARTY","PRIMARY","PRIMARY %","RUNOFF","RUNOFF %","GENERAL ","GENERAL %","GE RUNOFF","GE RUNOFF %","COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)","FOOTNOTES"
"2.0","Alabama","AL","01","H2AL01077","(I)","Jo","Bonner","Bonner, Jo","","R","Unopposed","","","","210660.0","0.9827072263921219","","","","",""
"3.0","Alabama","AL","01","n/a","","","Scattered","Scattered","","W","","","","","3707.0","0.01729277360787808","","","","",""
"4.0","Alabama","AL","01","H8AL01058","","Thomas E.","Fuller","Fuller, Thomas E. #","","D","Unopposed","","","","#","","","","","","# Thomas Fuller withdrew after the primary election."
"5.0","Alabama","AL","01","n/a","","","","","District Votes:","","n/a","","","","214367.0","","","","","",""
"6.0","Alabama","AL","02","H8AL02130","","Bobby","Bright","Bright, Bobby","","D","19456.0","0.6663698325170394","","","144368.0","0.5023347738644509","","","","",""
"7.0","Alabama","AL","02","H8AL02155","","Cendie","Crawley","Crawley, Cendie","","D","5110.0","0.17501798129944857","","","","","","","","",""
"8.0","Alabama","AL","02","H8AL02148","","Cheryl","Sabel","Sabel, Cheryl","","D","4631.0","0.158612186183512","","","","","","","","",""
"9.0","Alabama","AL","02","n/a","","","","","Party Votes:","D","29197.0","","","","","","","","","",""
"10.0","Alabama","AL","02","H8AL02080","","Jay","Love","Love, Jay","","R","20131.0","0.3548250638935401","24725.0","0.5311264822134387","142578.0","0.4961063905300737","","","","",""
"11.0","Alabama","AL","02","H8AL02106","","Harri Anne","Smith","Smith, Harri Anne","","R","12349.0","0.21766105578567022","21827.0","0.4688735177865613","","","","","","",""
"12.0","Alabama","AL","02","H8AL02122","","Craig D.","Schmidtke","Schmidtke, Craig D.","","R","11350.0","0.20005287741253194","","","","","","","","",""
"13.0","Alabama","AL","02","H4AL02048","","David","Woods","Woods, David","","R","9757.0","0.17197497135806822","","","","","","","","",""
"14.0","Alabama","AL","02","H8AL02114","","David","Grimes","Grimes, David","","R","2324.0","0.04096236890808143","","","","","","","","",""
"15.0","Alabama","AL","02","H8AL02098","","John W.","Martin","Martin, John W.","","R","824.0","0.014523662642108047","","","","","","","","",""
"16.0","Alabama","AL","02","n/a","","","","","Party Votes:","R","56735.0","","46552.0","","","","","","","",""
"17.0","Alabama","AL","02","n/a","","","Scattered","Scattered","","W","","","","","448.0","0.00155883560547541","","","","",""
"18.0","Alabama","AL","02","n/a","","","","","District Votes:","","85932.0","","46552.0","","287394.0","","","","","",""
"19.0","Alabama","AL","03","H2AL03032","(I)","Mike","Rogers","Rogers, Mike","","R","Unopposed","","","","142708.0","0.5403150083295472","","","","",""
"20.0","Alabama","AL","03","H8AL03047","","Joshua","Segall","Segall, Joshua","","D","Unopposed","","","","121080.0","0.45842798727850975","","","","",""
"21.0","Alabama","AL","03","n/a","","","Scattered","Scattered","","W","","","","","332.0","0.0012570043919430563","","","","",""
"22.0","Alabama","AL","03","n/a","","","","","District Votes:","","","","","","264120.0","","","","","",""
"23.0","Alabama","AL","04","H6AL04098","(I)","Robert","Aderholt","Aderholt, Robert","","R","Unopposed","","","","196741.0","0.7475899333883048","","","","",""
"24.0","Alabama","AL","04","H8AL04052","","Nicholas B.","Sparks","Sparks, Nicholas B.","","D","15777.0","0.5809337948302526","","","66077.0","0.2510839124966276","","","","",""
"25.0","Alabama","AL","04","H8AL04045","","Greg","Warren","Warren, Greg","","D","11381.0","0.4190662051697474","","","","","","","","",""
"26.0","Alabama","AL","04","n/a","","","","","Party Votes:","D","27158.0","","","","","","","","","",""
"27.0","Alabama","AL","04","n/a","","","Scattered","Scattered","","W","","","","","349.0","0.0013261541150676186","","","","",""
"28.0","Alabama","AL","04","n/a","","","","","District Votes:","","27158.0","","","","263167.0","","","","","",""
"29.0","Alabama","AL","05","H8AL05109","","Parker","Griffith","Griffith, Parker","","D","34543.0","0.8991592263841528","","","158324.0","0.5152400726368612","","","","",""
"30.0","Alabama","AL","05","H8AL05117","","David","Maker","Maker, David","","D","3874.0","0.10084077361584715","","","","","","","","",""
"31.0","Alabama","AL","05","n/a","","","","","Party Votes:","D","38417.0","","","","","","","","","",""
"32.0","Alabama","AL","05","H4AL05025","","Wayne","Parker","Parker, Wayne","","R","18515.0","0.4879945178039588","16031.0","0.7873385393644713","147314.0","0.47940979295891073","","","","",""
"33.0","Alabama","AL","05","H8AL05133","","Cheryl Baswell","Guthrie","Guthrie, Cheryl Baswell","","R","6942.0","0.1829682928757808","4330.0","0.2126614606355287","","","","","","",""
"34.0","Alabama","AL","05","H8AL05166","","Angelo ""Doc""","Mancuso","Mancuso, Angelo ""Doc""","","R","6161.0","0.16238370100946206","","","","","","","","",""
"35.0","Alabama","AL","05","H8AL05091","","Ray","McKee","McKee, Ray","","R","3342.0","0.08808413062386336","","","","","","","","",""
"36.0","Alabama","AL","05","H8AL05141","","George C.","Barry","Barry, George C.","","R","2274.0","0.059935162489127856","","","","","","","","",""
"37.0","Alabama","AL","05","H8AL05158","","Mark","Huff","Huff, Mark","","R","707.0","0.01863419519780712","","","","","","","","",""
"38.0","Alabama","AL","05","n/a","","","","","Party Votes:","R","37941.0","","20361.0","","","","","","","",""
"39.0","Alabama","AL","05","n/a","","","Scattered","Scattered","","W","","","","","1644.0","0.0053501344042280385","","","","",""
"40.0","Alabama","AL","05","n/a","","","","","District Votes:","","76358.0","","20361.0","","307282.0","","","","","",""
"41.0","Alabama","AL","06","H2AL06035","(I)","Spencer","Bachus","Bachus, Spencer","","R","Unopposed","","","","280902.0","0.9779450418991982","","","","",""
"42.0","Alabama","AL","06","n/a","","","Scattered","Scattered","","W","","","","","6335.0","0.022054958100801776","","","","",""
"43.0","Alabama","AL","06","n/a","","","","","District Votes:","","","","","","287237.0","","","","","",""
"44.0","Alabama","AL","07","H0AL07060","(I)","Artur","Davis","Davis, Artur","","D","Unopposed","","","","228518.0","0.9862624675767476","","","","",""
"45.0","Alabama","AL","07","n/a","","","Scattered","Scattered","","W","","","","","3183.0","0.013737532423252381","","","","",""
"46.0","Alabama","AL","07","n/a","","","","","District Votes:","","","","","","231701.0","","","","","",""
"47.0","Alabama","AL","H","n/a","","","","","Total House Votes:","","189448.0","","66913.0","","1855268.0","","","","","",""
"48.0","Alabama","AL","S","S6AL00195","(I)","Jeff","Sessions","Sessions, Jeff","","R","199690.0","0.9227477727255924","","","1305383.0","0.6336223194839702","","","","",""
"49.0","Alabama","AL","S","S8AL00167","","Earl Mack","Gavin","Gavin, Earl Mack","","R","16718.0","0.0772522272744076","","","","","","","","",""
"50.0","Alabama","AL","S","n/a","","","","","Party Votes:","R","216408.0","","","","","","","","","",""
"51.0","Alabama","AL","S","S8AL00282","","Vivian Davis","Figures","Figures, Vivian Davis","","D","112074.0","0.6371859525041361","","","752391.0","0.36520448832171387","","","","",""
"52.0","Alabama","AL","S","S0AL00149","","Johnny, III","Swanson","Swanson, Johnny, III","","D","38757.0","0.2203491975052448","","","","","","","","",""
"53.0","Alabama","AL","S","S8AL00290","","Mark ""No NCAA""","Townsend","Townsend, Mark ""No NCAA""","","D","25058.0","0.1424648499906191","","","","","","","","",""
"54.0","Alabama","AL","S","n/a","","","","","Party Votes:","D","175889.0","","","","","","","","","",""
