"1.0","STATE","STATE ABBREVIATION","DISTRICT","FEC ID#","INCUMBENT INDICATOR (I)","CANDIDATE NAME (First)","CANDIDATE NAME (Last)","CANDIDATE NAME (Last, First)","TOTAL VOTES","PARTY","PRIMARY","PRIMARY %","RUNOFF","RUNOFF %","GENERAL ","GENERAL %","COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)","FOOTNOTES",""
"2.0","Alabama","AL","01","H2AL01077","(I)","Jo","Bonner","Bonner, Jo","","REP","56937.0","0.75251777642674","","","129063.0","0.8258393534722711","","","",""
"3.0","Alabama","AL","01","H0AL01030","","Peter","Gounares","Gounares, Peter","","REP","18725.0","0.24748222357326002","","","","","","","",""
"4.0","Alabama","AL","01","n/a","","","","","Party Votes:","REP","75662.0","","","","","","","","",""
"5.0","Alabama","AL","01","H0AL01048","","David","Walter","Walter, David","","CPA","","","","","26357.0","0.16865133957422848","","","",""
"6.0","Alabama","AL","01","n/a","","","Scattered","Scattered","","W","","","","","861.0","0.005509306953500426","","","",""
"7.0","Alabama","AL","01","n/a","","","","","District Votes:","","75662.0","","","","156281.0","","","","",""
"8.0","Alabama","AL","","n/a","","","","","","","","","","","","","","","",""
"9.0","Alabama","AL","02","H0AL02087","","Martha","Roby","Roby, Martha","","REP","36295.0","0.485525858148059","39169.0","0.600199203187251","111645.0","0.5097293496721881","","","",""
"10.0","Alabama","AL","02","H0AL02103","","Rick","Barber","Barber, Rick","","REP","21313.0","0.28510848917783665","26091.0","0.399800796812749","","","","","",""
"11.0","Alabama","AL","02","H0AL02111","","Stephanie","Bell","Bell, Stephanie","","REP","13797.0","0.18456537442812423","","","","","","","",""
"12.0","Alabama","AL","02","H0AL02129","","John Beau, III","McKinney","McKinney, John Beau, III","","REP","3349.0","0.044800278245980145","","","","","","","",""
"13.0","Alabama","AL","02","n/a","","","","","Party Votes:","REP","74754.0","","65260.0","","","","","","",""
"14.0","Alabama","AL","02","H8AL02130","(I)","Bobby","Bright","Bright, Bobby","","DEM","Unopposed","","","","106865.0","0.48790565589787604","","","",""
"15.0","Alabama","AL","02","n/a","","","Scattered","Scattered","","W","","","","","518.0","0.0023649944299358986","","","",""
"16.0","Alabama","AL","02","n/a","","","","","District Votes:","","74754.0","","65260.0","","219028.0","","","","",""
"17.0","Alabama","AL","","n/a","","","","","","","","","","","","","","","",""
"18.0","Alabama","AL","03","H2AL03032","(I)","Mike","Rogers","Rogers, Mike","","REP","Unopposed","","","","117736.0","0.5942091158227305","","","",""
"19.0","Alabama","AL","03","H0AL03184","","Steve","Segrest","Segrest, Steve","","DEM","Unopposed","","","","80204.0","0.40478653874300363","","","",""
"20.0","Alabama","AL","03","n/a","","","Scattered","Scattered","","W","","","","","199.0","0.0010043454342658436","","","",""
"21.0","Alabama","AL","03","n/a","","","","","District Votes:","","","","","","198139.0","","","","",""
"22.0","Alabama","AL","","n/a","","","","","","","","","","","","","","","",""
"23.0","Alabama","AL","04","H6AL04098","(I)","Robert","Aderholt","Aderholt, Robert","","REP","Unopposed","","","","167714.0","0.9881747102597793","","","",""
"24.0","Alabama","AL","04","n/a","","","Scattered","Scattered","","W","","","","","2007.0","0.011825289740220716","","","",""
"25.0","Alabama","AL","04","n/a","","","","","District Votes:","","","","","","169721.0","","","","",""
"26.0","Alabama","AL","","n/a","","","","","","","","","","","","","","","",""
"27.0","Alabama","AL","05","H0AL05163","","Mo","Brooks","Brooks, Mo","","REP","35746.0","0.5080732275854227","","","131109.0","0.5788732394366197","","","",""
"28.0","Alabama","AL","05","H8AL05109","(I)","Parker","Griffith","Griffith, Parker","","REP","23525.0","0.33437091363920635","","","","","","","",""
"29.0","Alabama","AL","05","H0AL05155","","Les","Phillip","Phillip, Les","","REP","11085.0","0.15755585877537098","","","","","","","",""
"30.0","Alabama","AL","05","n/a","","","","","Party Votes:","REP","70356.0","","","","","","","","",""
"31.0","Alabama","AL","05","H0AL05197","","Steve","Raby","Raby, Steve","","DEM","27814.0","0.6166637105356509","","","95192.0","0.42029228663517154","","","",""
"32.0","Alabama","AL","05","H0AL05189","","Taze","Shepard","Shepard, Taze","","DEM","10262.0","0.22751862362539907","","","","","","","",""
"33.0","Alabama","AL","05","H0AL05171","","Mitchell J.","Howie","Howie, Mitchell J.","","DEM","5277.0","0.11699627527492018","","","","","","","",""
"34.0","Alabama","AL","05","H8AL05117","","David J.","Maker","Maker, David J.","","DEM","1751.0","0.0388213905640298","","","","","","","",""
"35.0","Alabama","AL","05","n/a","","","","","Party Votes:","DEM","45104.0","","","","","","","","",""
"36.0","Alabama","AL","05","n/a","","","Scattered","Scattered","","W","","","","","189.0","0.0008344739282087509","","","",""
"37.0","Alabama","AL","05","n/a","","","","","District Votes:","","115460.0","","","","226490.0","","","","",""
"38.0","Alabama","AL","","n/a","","","","","","","","","","","","","","","",""
"39.0","Alabama","AL","06","H2AL06035","(I)","Spencer","Bachus","Bachus, Spencer","","REP","80725.0","0.756404490170724","","","205288.0","0.9805315144915077","","","",""
"40.0","Alabama","AL","06","H0AL06088","","Stan","Cooke","Cooke, Stan","","REP","25997.0","0.24359550982927605","","","","","","","",""
"41.0","Alabama","AL","06","n/a","","","","","Party Votes:","REP","106722.0","","","","","","","","",""
"42.0","Alabama","AL","06","n/a","","","Scattered","Scattered","","W","","","","","4076.0","0.019468485508492388","","","",""
"43.0","Alabama","AL","06","n/a","","","","","District Votes:","","106722.0","","","","209364.0","","","","",""
"44.0","Alabama","AL","","n/a","","","","","","","","","","","","","","","",""
"45.0","Alabama","AL","07","H0AL07086","","Terri A.","Sewell","Sewell, Terri A.","","DEM","31531.0","0.36803464294885263","32366.0","0.5500025489829558","136696.0","0.7243169920094954","","","",""
"46.0","Alabama","AL","07","H0AL07102","","Shelia","Smoot","Smoot, Shelia","","DEM","24490.0","0.2858510166444896","26481.0","0.4499974510170442","","","","","",""
"47.0","Alabama","AL","07","H0AL07094","","Earl, Jr.","Hilliard","Hilliard, Earl, Jr.","","DEM","22981.0","0.2682377384037164","","","","","","","",""
"48.0","Alabama","AL","07","H0AL00016","","Martha","Bozeman","Bozeman, Martha","","DEM","6672.0","0.07787660200294139","","","","","","","",""
"49.0","Alabama","AL","07","n/a","","","","","Party Votes:","DEM","85674.0","","58847.0","","","","","","",""
"50.0","Alabama","AL","07","H0AL07177","","Don","Chamberlain","Chamberlain, Don","","REP","6166.0","0.3758381080092649","11783.0","0.5575903842513723","51890.0","0.27495178143744303","","","",""
"51.0","Alabama","AL","07","H0AL07185","","Chris","Salter","Salter, Chris","","REP","4826.0","0.2941606729245398","9349.0","0.4424096157486277","","","","","",""
"52.0","Alabama","AL","07","H0AL07144","","Michele","Waller","Waller, Michele","","REP","2804.0","0.17091308058027552","","","","","","","",""
"53.0","Alabama","AL","07","H0AL07169","","Carol F.","Hendrickson","Hendrickson, Carol F.","","REP","2610.0","0.1590881384859198","","","","","","","",""
"54.0","Alabama","AL","07","n/a","","","","","Party Votes:","REP","16406.0","","21132.0","","","","","","",""
"55.0","Alabama","AL","07","n/a","","","Scattered","Scattered","","W","","","","","138.0","0.0007312265530616138","","","",""
"56.0","Alabama","AL","07","n/a","","","","","District Votes:","","102080.0","","79979.0","","188724.0","","","","",""
"57.0","Alabama","AL","","n/a","","","","","","","","","","","","","","","",""
"58.0","Alabama","AL","H","n/a","","","","","Total State Votes:","","474678.0","","145239.0","","1367747.0","","","","",""
"59.0","Alabama","AL","","n/a","","","","","","","","","","","","","","","",""
"60.0","Alabama","AL","","n/a","","","","","","","","","","","","","","","",""
"61.0","Alabama","AL","S","S6AL00013","(I)","Richard C.","Shelby","Shelby, Richard C.","","REP","405398.0","0.8435458230334507","","","968181.0","0.6517547302286976","","","",""
"62.0","Alabama","AL","S","S0AL00180","","N.C. ""Clint""","Moser","Moser, N.C. ""Clint""","","REP","75190.0","0.1564541769665493","","","","","","","",""
"63.0","Alabama","AL","S","n/a","","","","","Party Votes:","REP","480588.0","","","","","","","","",""
"64.0","Alabama","AL","S","S0AL00164","","William G.","Barnes","Barnes, William G.","","DEM","160993.0","0.6076698058014229","","","515619.0","0.3471015463490719","","","",""
"65.0","Alabama","AL","S","S0AL00172","","Simone D.","De Moore","De Moore, Simone D.","","DEM","103942.0","0.392330194198577","","","","","","","",""
"66.0","Alabama","AL","S","n/a","","","","","Party Votes:","DEM","264935.0","","","","","","","","",""
"67.0","Alabama","AL","S","n/a","","","Scattered","Scattered","","W","","","","","1699.0","0.0011437234222305098","","","",""
"68.0","Alabama","AL","S","n/a","","","","","Total State Votes:","","745523.0","","","","1485499.0","","","","",""
"69.0","","","","n/a","","","","","","","","","","","","","","","",""
"70.0","Alaska","AK","00","H6AK00045","(I)","Don","Young","Young, Don","","REP","74310.0","0.7035332878891161","","","175384.0","0.6895787052509486","","","",""
"71.0","Alaska","AK","00","H0AK01038","","Sheldon","Fisher","Fisher, Sheldon","","REP","24709.0","0.23393357570249185","","","","","","","",""
"72.0","Alaska","AK","00","H0AK00097","","John R. ","Cox","Cox, John R. ","","REP","6605.0","0.06253313640839203","","","","","","","",""
"73.0","Alaska","AK","00","n/a","","","","","Party Votes:","REP","105624.0","","","","","","","","",""
"74.0","Alaska","AK","00","H0AK00089","","Harry T., Jr.","Crawford","Crawford, Harry T., Jr.","","DEM","38673.0","1.0","","","77606.0","0.3051329938860165","","","",""
"75.0","Alaska","AK","00","n/a","","","","","Party Votes:","DEM","38673.0","","","","","","","","",""
"76.0","Alaska","AK","00","n/a","","","Scattered","Scattered","","W","","","","","1345.0","0.0052883008630349735","","","",""
"77.0","Alaska","AK","00","n/a","","","","","District Votes:","","144297.0","","","","254335.0","","","","",""
"78.0","Alaska","AK","H","n/a","","","","","Total State Votes:","","144297.0","","","","254335.0","","","","",""
