"State","Democratic","Republican","Other","Democratic General","Republican General","Other General"
"AL","89327.0","296918.0","","331764.0","704533.0","44583.0"
"AK","106867.0","47867.0","13437.0","114602.0","142572.0","22567.0"
"AS","","","","5328.0","4306.0","612.0"
"AZ","256830.0","467538.0","387.0","577947.0","817178.0","72492.0"
"AR","","88688.0","","254774.0","509631.0","66247.0"
"CA","2277658.0","1731356.0","142461.0","4067737.0","2950679.0","114005.0"
"CO","203454.0","353237.0","127.0","936417.0","1000197.0","63911.0"
"CT","","","","596390.0","409513.0","61954.0"
"DE","","","","137251.0","85146.0","9220.0"
"DC","89899.0","1259.0","437.0","143923.0","11673.0","16297.0"
"FL","163961.0","342452.0","","2130626.0","2713451.0","154478.0"
"GA","268014.0","649472.0","","956361.0","1349076.0","228.0"
"GU","7938.0","6873.0","","20693.0","14956.0","113.0"
"HI","210607.0","37599.0","566.0","235400.0","120084.0","4693.0"
"ID","25575.0","150436.0","","160078.0","275072.0","7.0"
"IL","424718.0","677940.0","273.0","1822779.0","1721865.0","23358.0"
"IN","171967.0","352619.0","","502104.0","793759.0","44951.0"
"IA","64276.0","147261.0","","509189.0","595865.0","15280.0"
"KS","62960.0","255345.0","","311530.0","540756.0","9791.0"
"KY","271313.0","","","508151.0","887157.0","2318.0"
"LA","","","","551663.0","1157474.0","131266.0"
"ME","58972.0","51784.0","","305230.0","228059.0","59057.0"
"MD","451194.0","187424.0","","978267.0","704400.0","20370.0"
"MA","451056.0","60761.0","","1475442.0","308598.0","29776.0"
"MI","512540.0","633734.0","","1519030.0","1466749.0","103698.0"
"MN","45036.0","68536.0","928.0","985760.0","913539.0","64240.0"
"MS","95094.0","256871.0","","230014.0","329169.0","67096.0"
"MO","312493.0","508482.0","6027.0","513600.0","838283.0","74420.0"
"MT","71168.0","131623.0","","148690.0","203871.0","15402.0"
"NE","63607.0","215348.0","7678.0","185234.0","340816.0","9480.0"
"NV","71485.0","35519.0","","210147.0","28053.0","304809.0"
"NH","38852.0","115170.0","","247469.0","232379.0","1072.0"
"NJ","229197.0","156498.0","","1006958.0","940992.0","34690.0"
"NM","108800.0","60642.0","","271222.0","240542.0","121.0"
"NY","94518.0","94630.0","2459.0","1788105.0","1257412.0","606190.0"
"NC","338211.0","369030.0","","1361695.0","1596942.0","18607.0"
"ND","30154.0","50339.0","1555.0","95678.0","138100.0","14892.0"
"MP","","","","8549.0","","4547.0"
"OH","363214.0","543274.0","1119.0","1179587.0","1770923.0","49651.0"
"OK","129436.0","235094.0","","174022.0","457613.0","21778.0"
"OR","271317.0","237282.0","","778139.0","582909.0","89654.0"
"PA","646868.0","430059.0","","1467594.0","1833205.0","28404.0"
"PR","","","","","",""
"RI","105331.0","23156.0","","192776.0","122721.0","760.0"
"SC","63382.0","69137.0","","377025.0","734456.0","44301.0"
"SD","","","","92485.0","183834.0",""
"TN","243116.0","641341.0","","448421.0","848846.0","73894.0"
"TX","419810.0","1259181.0","","1474016.0","2684592.0","294891.0"
"UT","","","","183491.0","351034.0","31445.0"
"VT","19472.0","12888.0","238.0","123349.0","59432.0","8723.0"
"VI","9756.0","","","21224.0","1964.0","224.0"
"VA","38866.0","96301.0","","937175.0","1292588.0","146881.0"
"WA","581029.0","535678.0","71549.0","1047747.0","981853.0",""
"WV","126414.0","77162.0","","182484.0","242823.0","14081.0"
"WI","272108.0","254324.0","87.0","1102581.0","1233336.0","19663.0"
"WY","14399.0","93443.0","","37803.0","113038.0","14259.0"
"Total:","10972259.0","13111571.0","249328.0","36025716.0","40068014.0","3125447.0"
"","","","","","",""
"","","","","","",""
"Notes on Charts","","","","","",""
"","","","","","",""
"*  Runoff election vote totals have been included with the primary election totals.  (For the U.S. Senate, runoff elections were held in Georgia, Mississippi, Oklahoma (Unexpired Term), and Texas.  For the U.S. House of Representatives, runoff elections were held in Alabama, Georgia, Mississippi, North Carolina, Oklahoma, and Texas.)  For Louisiana, the December election vote totals have been included with the general election totals.","","","","","",""
"","","","","","",""
"*  The votes for both full and unexpired terms are included in the totals.  This applies to Hawaii (Senate), Oklahoma (Senate), South Carolina (Senate), New Jersey (NJ/01), North Carolina (NC/12), and Virginia (VA/07).","","","","","",""
"","","","","","",""
"The following three situations account for blank spaces in the charts and should be considered when making comparisons or drawing conclusions about the vote totals.","","","","","",""
"","","","","","",""
"*  In some states, i.e., Connecticut, Utah and Virginia, political parties may nominate general election candidates by party convention, rather than by primary election.","","","","","",""
"","","","","","",""
"*  In some states, there were unopposed candidates whose names did not appear on a ballot and therefore received no votes.","","","","","",""
"","","","","","",""
"    *  33 states had regularly scheduled U.S. Senate elections in 2014.","","","","","",""
