"1.0","STATE ABBREVIATION","STATE","DISTRICT","FEC ID#","(I)","CANDIDATE NAME (First)","CANDIDATE NAME (Last)","CANDIDATE NAME","TOTAL VOTES","PARTY","PRIMARY VOTES","PRIMARY %","RUNOFF VOTES","RUNOFF %","GENERAL ","GENERAL %","GE RUNOFF ELECTION VOTES (LA)","GE RUNOFF ELECTION % (LA)","COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)","GE WINNER INDICATOR","FOOTNOTES"
"2.0","AL","Alabama","01","H4AL01123","(I)","Bradley","Byrne","Byrne, Bradley","","R","Unopposed","","","","103758.0","0.6815691632618206","","","","","W",""
"3.0","AL","Alabama","01","H4AL01156","","Burton R.","LeFlore","LeFlore, Burton R.","","D","Unopposed","","","","48278.0","0.3171302074438036","","","","","",""
"4.0","AL","Alabama","01","n/a","","","","Scattered","","W","","","","","198.0","0.0013006292943757635","","","","","",""
"5.0","AL","Alabama","01","n/a","","","","","District Votes:","","","","","","152234.0","","","","","","",""
"6.0","AL","Alabama","","n/a","","","","","","","","","","","","","","","","","",""
"7.0","AL","Alabama","02","H0AL02087","(I)","Martha","Roby","Roby, Martha","","R","Unopposed","","","","113103.0","0.6734245498713918","","","","","W",""
"8.0","AL","Alabama","02","H4AL02071","","Erick","Wright","Wright, Erick","","D","Unopposed","","","","54692.0","0.3256406592359722","","","","","",""
"9.0","AL","Alabama","02","n/a","","","","Scattered","","W","","","","","157.0","0.0009347908926359913","","","","","",""
"10.0","AL","Alabama","02","n/a","","","","","District Votes:","","","","","","167952.0","","","","","","",""
"11.0","AL","Alabama","","n/a","","","","","","","","","","","","","","","","","",""
"12.0","AL","Alabama","03","H2AL03032","(I)","Mike","Rogers","Rogers, Mike","","R","50372.0","0.7589459251781652","","","103558.0","0.6612054654577959","","","","","W",""
"13.0","AL","Alabama","03","H4AL03053","","Thomas","Casson","Casson, Thomas","","R","15999.0","0.24105407482183483","","","","","","","","","",""
"14.0","AL","Alabama","03","n/a","","","","","Party Votes:","R","66371.0","","","","","","","","","","",""
"15.0","AL","Alabama","03","H4AL03061","","Jesse T.","Smith","Smith, Jesse T.","","D","Unopposed","","","","52816.0","0.33722385391393184","","","","","",""
"16.0","AL","Alabama","03","n/a","","","","Scattered","","W","","","","","246.0","0.0015706806282722514","","","","","",""
"17.0","AL","Alabama","03","n/a","","","","","District Votes:","","66371.0","","","","156620.0","","","","","","",""
"18.0","AL","Alabama","","n/a","","","","","","","","","","","","","","","","","",""
"19.0","AL","Alabama","04","H6AL04098","(I)","Robert","Aderholt","Aderholt, Robert","","R","Unopposed","","","","132831.0","0.9857441819045357","","","","","W",""
"20.0","AL","Alabama","04","n/a","","","","Scattered","","W","","","","","1921.0","0.01425581809546426","","","","","",""
"21.0","AL","Alabama","04","n/a","","","","","District Votes:","","","","","","134752.0","","","","","","",""
"22.0","AL","Alabama","","n/a","","","","","","","","","","","","","","","","","",""
"23.0","AL","Alabama","05","H0AL05163","(I)","Mo","Brooks","Brooks, Mo","","R","49117.0","0.8031559152971957","","","115338.0","0.7442409694529405","","","","","W",""
"24.0","AL","Alabama","05","H4AL05074","","Jerry","Hill","Hill, Jerry","","R","12038.0","0.19684408470280434","","","","","","","","","",""
"25.0","AL","Alabama","05","n/a","","","","","Party Votes:","R","61155.0","","","","","","","","","","",""
"26.0","AL","Alabama","05","H4AL05082","","Mark","Bray","Bray, Mark","","IND","","","","","39005.0","0.2516873798185502","","","","","",""
"27.0","AL","Alabama","05","n/a","","","","Scattered","","W","","","","","631.0","0.0040716507285092985","","","","","",""
"28.0","AL","Alabama","05","n/a","","","","","District Votes:","","61155.0","","","","154974.0","","","","","","",""
"29.0","AL","Alabama","","n/a","","","","","","","","","","","","","","","","","",""
"30.0","AL","Alabama","06","H4AL06098","","Gary","Palmer","Palmer, Gary","","R","18655.0","0.19733640806482325","47525.0","0.634868684709717","135945.0","0.7618142998840005","","","","","W",""
"31.0","AL","Alabama","06","H4AL06080","","Paul","DeMarco","DeMarco, Paul","","R","30894.0","0.3268030549855079","27333.0","0.3651313152902829","","","","","","","",""
"32.0","AL","Alabama","06","H2AL06126","","Scott","Beason","Beason, Scott","","R","14451.0","0.15286563564431846","","","","","","","","","",""
"33.0","AL","Alabama","06","H4AL06072","","Chad","Mathis","Mathis, Chad","","R","14420.0","0.15253771129963822","","","","","","","","","",""
"34.0","AL","Alabama","06","H4AL06106","","Will","Brooke","Brooke, Will","","R","13130.0","0.1388918272790742","","","","","","","","","",""
"35.0","AL","Alabama","06","H4AL06114","","Tom","Vigneulle","Vigneulle, Tom","","R","2397.0","0.025355956587048045","","","","","","","","","",""
"36.0","AL","Alabama","06","H4AL06122","","Robert","Shattuck","Shattuck, Robert","","R","587.0","0.006209406139589989","","","","","","","","","",""
"37.0","AL","Alabama","06","n/a","","","","","Party Votes:","R","94534.0","","74858.0","","","","","","","","",""
"38.0","AL","Alabama","06","H4AL06148","","Mark","Lester","Lester, Mark #","","D","#","","","","42291.0","0.23699208177126238","","","","","","# Avery Vise withdrew after the primary election and Mark Lester was selected by the party to fill the vacancy on the general election ballot."
"39.0","AL","Alabama","06","H4AL06130","","Avery","Vise","Vise, Avery #","","D","Unopposed","","","","","","","","","","","# Avery Vise withdrew after the primary election and Mark Lester was selected by the party to fill the vacancy on the general election ballot."
"40.0","AL","Alabama","06","n/a","","","","Scattered","","W","","","","","213.0","0.0011936183447371518","","","","","",""
"41.0","AL","Alabama","06","n/a","","","","","District Votes:","","94534.0","","74858.0","","178449.0","","","","","","",""
"42.0","AL","Alabama","","n/a","","","","","","","","","","","","","","","","","",""
"43.0","AL","Alabama","07","H0AL07086","(I)","Terri A.","Sewell","Sewell, Terri A.","","D","74953.0","0.8390856068154086","","","133687.0","0.9837232062046078","","","","","W",""
"44.0","AL","Alabama","07","H4AL07096","","Tamara Harris","Johnson","Johnson, Tamara Harris","","D","14374.0","0.16091439318459144","","","","","","","","","",""
"45.0","AL","Alabama","07","n/a","","","","","Party Votes:","D","89327.0","","","","","","","","","","",""
"46.0","AL","Alabama","07","n/a","","","","Scattered","","W","","","","","2212.0","0.016276793795392167","","","","","",""
"47.0","AL","Alabama","07","n/a","","","","","District Votes:","","89327.0","","","","135899.0","","","","","","",""
"48.0","AL","Alabama","","n/a","","","","","","","","","","","","","","","","","",""
"49.0","AL","Alabama","H","n/a","","","","","Total State Votes:","","311387.0","","74858.0","","1080880.0","","","","","","",""
"50.0","AL","Alabama","","n/a","","","","","","","","","","","","","","","","","",""
"51.0","","","","n/a","","","","","","","","","","","","","","","","","",""
"52.0","AK","Alaska","00","H6AK00045","(I)","Don","Young","Young, Don","","R","79393.0","0.7429140894757035","","","142572.0","0.5096571471468251","","","","","W",""
"53.0","AK","Alaska","00","H0AK00097","","John R.","Cox","Cox, John R.","","R","14497.0","0.1356545987068038","","","","","","","","","",""
"54.0","AK","Alaska","00","H4AK00149","","David  ","Seaward","Seaward, David  ","","R","7604.0","0.07115386414889535","","","","","","","","","",""
